city,rate,year
"Denver County/city, CO",3.1,2016
"Omaha city, NE",3.2,2016
"San Francisco County/city, CA",3.3,2016
"Minneapolis city, MN",3.4,2016
"Boston city, MA",3.5,2016
"Colorado Springs city, CO",3.6,2016
"Nashville-Davidson (consolidated) city, TN",3.6,2016
"Seattle city, WA",3.6,2016
"San Antonio city, TX",3.7,2016
"Dallas city, TX",4,2016
"Oklahoma City city, OK",4,2016
"San Jose city, CA",4,2016
"Virginia Beach city, VA",4,2016
"Portland city, OR",4.1,2016
"Columbus city, OH",4.2,2016
"Fort Worth city, TX",4.2,2016
"Indianapolis (consolidated) city, IN",4.5,2016
"Louisville-Jefferson County (consolidated) city, KY",4.5,2016
"Tulsa city, OK",4.5,2016
"Mesa city, AZ",4.6,2016
"Raleigh city, NC",4.6,2016
"San Diego city, CA",4.6,2016
"El Paso city, TX",4.7,2016
"Phoenix city, AZ",4.7,2016
"Wichita city, KS",4.8,2016
"Charlotte city, NC",4.9,2016
"Kansas City city, MO",4.9,2016
"Oakland city, CA",4.9,2016
"Houston city, TX",5,2016
"Jacksonville city, FL",5,2016
"Miami city, FL",5.2,2016
"New York city, NY",5.2,2016
"Tucson city, AZ",5.2,2016
"Los Angeles city, CA",5.3,2016
"Long Beach city, CA",5.4,2016
"Sacramento city, CA",5.5,2016
"Milwaukee city, WI",5.6,2016
"Albuquerque city, NM",5.8,2016
"Atlanta city, GA",5.8,2016
"Memphis city, TN",5.8,2016
"Las Vegas city, NV",6.1,2016
"Washington city, DC",6.1,2016
"Chicago city, IL",6.4,2016
"Baltimore city, MD",6.6,2016
"Philadelphia County/city, PA",6.8,2016
"Cleveland city, OH",7.1,2016
"Fresno city, CA",7.7,2016
"Detroit city, MI",10.7,2016
"Honolulu County/city, HI",2.2,2017
"Nashville-Davidson (consolidated) city, TN",2.7,2017
"Denver County/city, CO",2.8,2017
"Austin city, TX",2.9,2017
"San Francisco County/city, CA",2.9,2017
"Minneapolis city, MN",3.1,2017
"Colorado Springs city, CO",3.2,2017
"Omaha city, NE",3.2,2017
"San Jose city, CA",3.3,2017
"Boston city, MA",3.4,2017
"Seattle city, WA",3.4,2017
"San Antonio city, TX",3.5,2017
"Indianapolis (consolidated) city, IN",3.6,2017
"Portland city, OR",3.6,2017
"Virginia Beach city, VA",3.6,2017
"Dallas city, TX",3.8,2017
"Fort Worth city, TX",3.8,2017
"Oklahoma City city, OK",3.9,2017
"San Diego city, CA",3.9,2017
"Columbus city, OH",4.1,2017
"Jacksonville city, FL",4.2,2017
"Mesa city, AZ",4.2,2017
"Oakland city, CA",4.2,2017
"Raleigh city, NC",4.2,2017
"Kansas City city, MO",4.3,2017
"Phoenix city, AZ",4.3,2017
"Charlotte city, NC",4.4,2017
"El Paso city, TX",4.4,2017
"Louisville-Jefferson County (consolidated) city, KY",4.4,2017
"Wichita city, KS",4.4,2017
"New York city, NY",4.5,2017
"Tulsa city, OK",4.5,2017
"Milwaukee city, WI",4.6,2017
"Los Angeles city, CA",4.7,2017
"Miami city, FL",4.7,2017
"Sacramento city, CA",4.7,2017
"Tucson city, AZ",4.7,2017
"Houston city, TX",4.8,2017
"Long Beach city, CA",4.8,2017
"Memphis city, TN",4.8,2017
"Atlanta city, GA",5.2,2017
"Las Vegas city, NV",5.4,2017
"Albuquerque city, NM",5.5,2017
"Chicago city, IL",5.5,2017
"Baltimore city, MD",6.1,2017
"Washington city, DC",6.1,2017
"Philadelphia County/city, PA",6.2,2017
"Fresno city, CA",6.7,2017
"Cleveland city, OH",7.4,2017
"Detroit city, MI",9.3,2017
